OCCURRENCES,ARRIVAL_AIRPORT_IATA,DEPARTURE_AIRPORT_IATA,DEPARTURE_DATE,ARRIVAL_AIRPORT_DESCRIPTION,DEPARTURE_AIRPORT_DESCRIPTION,ARRIVAL_CITY,DEPARTURE_CITY,ARRIVAL_COUNTRY_CODE,DEPARTURE_COUNTRY_CODE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY,ALARM_REASON,OPERATOR_NOTES,RISK_FLAG,DEPARTURE_COUNTRY_FULL,ARRIVAL_COUNTRY_CODE_FULL,ZONE_3,ARRIVAL_COUNTRY_PERCENTAGE,TOTAL_FLIGHTS
Allarmi generati da SDI/NSIS,VCE,IST,2024-01-20 08:10:00,Venezia Marco Polo,Havalimani,Venezia,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,4,Italia,15.0
"Voli solo visualizzati, ma NON investigati",FCO,AUH,2024-01-13 21:05:00,Fiumicino,Abu Dhabi International,Roma,Abu Dhabi,ITA,,Italia,Emirati Arabi Uniti,No information provided,No information provided,LOW,Emirati Arabi Uniti,ITA,5,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),BGY,NCL,,Orio Al Serio,Nan,Bergamo,Newcastle,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Voli con Allarmi,TSF,TIA,2024-02-23 19:05:00,Treviso-Sant'Angelo,Rinas Mother Teresa,Treviso,Tirana,ITA,ALB,Italia,Albania,TSC,No information provided,LOW,Albania,ITA,4,Italia,1.0
Viaggiatori entrati nel Sistema,MXP,STN,2024-01-11 12:35:00,Malpensa,Stansted,Milano,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,2,Italia,146.0
Viaggiatori entrati nel Sistema,BLQ,LHR,2024-01-14 19:25:00,Guglielmo Marconi,London Heathrow,Bologna,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,8,Italia,128.0
Allarmi generati da SDI/NSIS,MXP,IST,2024-02-06 15:50:00,Malpensa,Havalimani,Milano,Istanbul,ITA,,Italia,Turchia,No information provided,No information provided,LOW,Turchia,ITA,2,Italia,19.0
"Voli solo visualizzati, ma NON investigati",NAP,LTN,2024-01-21 13:30:00,Napoli Capodichino,London Luton,Napoli,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,6,Italia,1.0
Viaggiatori investigati,FCO,JFK,2024-01-12 16:35:00,Fiumicino,John F Kennedy International,Roma,New York,ITA,,Italia,Stati Uniti,Manuale,No information provided,LOW,Stati Uniti,ITA,5,Italia,0.0
Viaggiatori entrati nel Sistema,PSA,STN,2024-02-14 12:10:00,Galileo Galilei,Stansted,Pisa,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,8,Italia,185.0
Viaggiatori investigati,MXP,YUL,2024-02-03 20:30:00,Malpensa,Montreal-Pierre Elliott Trudeau International,Milano,Montreal,ITA,CAN,Italia,Canada,INTERPOL,No information provided,LOW,Canada,ITA,2,Italia,224.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),GOA,TIA,2024-01-06 08:15:00,Cristoforo Colombo,Rinas Mother Teresa,Genova,Tirana,ITA,ALB,Italia,Albania,SDI,No information provided,LOW,Albania,ITA,1,Italia,1.0
